observed_at,category,product,sku,seller,country,price,currency,pln_price,vat_status,shipping_to_poland,delivered_pln,stock,warranty,rma_quality,source_url,notes
2026-08-23,Track A SSD,Samsung 9100 PRO 4TB,MZ-VAP4T0BW,Senetic S.A.,Poland,3357.90,PLN,3357.90,included,unknown,3357.90,in stock,"5 years or TBW manufacturer limit",good,https://www.senetic.pl/product/MZ-VAP4T0BW,"unit price; quantity two; direct JSON-LD price valid 2026-08-23; shipping requires checkout confirmation"
2026-08-23,Track A Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele.net Sp. z o.o.,Poland,168.89,PLN,168.89,included,"0-25.99 PLN",168.89,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; Track A quantity six; direct JSON-LD"
2026-08-23,Track A Fan 120mm,Noctua NF-A12x25 G2 PWM chromax.black,NF-A12x25 G2 PWM chromax.black,Morele.net Sp. z o.o.,Poland,156.97,PLN,156.97,included,"0-25.99 PLN",156.97,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a12x25-g2-pwm-chromax-black-600144884/,"unit price; Track A quantity six; direct JSON-LD"
2026-08-23,Track B CPU,AMD Ryzen 9 9950X3D,100-100000719WOF,Morele.net Sp. z o.o.,Poland,2670.00,PLN,2670.00,included,"0-25.99 PLN",2670.00,in stock,unknown,good,https://www.morele.net/procesor-amd-ryzen-9-9950x3d-4-3-ghz-128-mb-box-100-100000719wof-14743984/,"new Polish qualifying seller and repository historical low; direct JSON-LD; primary CPU remains selected"
2026-08-23,Track B CPU alternative,AMD Ryzen 9 9950X3D2 Dual Edition,100-100001978WOF,Morele.net Sp. z o.o.,Poland,3913.51,PLN,3913.51,included,"0-25.99 PLN",3913.51,in stock,unknown,good,https://www.morele.net/procesor-amd-ryzen-9-9950x3d2-4-3-ghz-192-mb-box-100-100001978wof-15920184/,"first qualifying Polish direct stock; 1243.51 PLN or 46.57% premium over primary; Morele title says 192MB while AMD describes 208MB total cache including L2; BIOS F8 or newer required; never substitute automatically"
2026-08-23,Track B Motherboard,GIGABYTE X870E AORUS MASTER X3D ICE,X870E A MASTER X ICE,Morele.net Sp. z o.o.,Poland,2198.99,PLN,2198.99,included,"0-25.99 PLN",2198.99,in stock,unknown,good,https://www.morele.net/plyta-glowna-gigabyte-x870e-aorus-master-x3d-ice-15566741/,"exact EAN 4719331876517; direct JSON-LD; new repository low; CPU PEG x16 or x8/x8 and M.2 does not reduce the GPU pair"
2026-08-23,Track B RAM 128GB,Kingston FURY Beast 128GB 2x64GB DDR5-5600 CL40,KF556C40BBK2-128,Morele.net Sp. z o.o.,Poland,9608.12,PLN,9608.12,included,"0-25.99 PLN",9608.12,in stock,"lifetime seller previously stated",good,https://www.morele.net/pamiec-kingston-fury-beast-ddr5-128gb-5600mt-s-cl40-czarny-kf556c40bbk2-128-15245805/,"factory 2x64GB non-ECC UDIMM kit; exact GIGABYTE board-specific QVL row remains unextracted; Kingston part page confirms 2Rx8 40-40-40 1.25V and compatibility-search path; run at DDR5-5600 and stability-test"
2026-08-23,Track B GPU,ASUS ProArt GeForce RTX 5090 OC 32GB,PROART-RTX5090-O32G,Morele.net Sp. z o.o.,Poland,25140.41,PLN,25140.41,included,"0-25.99 PLN",25140.41,out of stock,"36 months manufacturer previously stated",good,https://www.morele.net/karta-graficzna-asus-proart-geforce-rtx-5090-oc-32gb-gddr7-dlss4-proart-rtx5090-o32g-600147680/,"same exact shared offer as Track A; total retains 20999 PLN prior reference; stock HAVN VGPU layout remains one-GPU-only"
2026-08-23,Track B CPU cooler,TRYX PANORAMA 360 White non-ARGB,L-P360N-DS3M-G1W,Morele.net Sp. z o.o.,Poland,1654.99,PLN,1654.99,included,"0-25.99 PLN",1654.99,in stock,"seller term unknown; TRYX advertises 6 years cooler and 2 years display",good,https://www.morele.net/chlodzenie-wodne-jetworld-tryx-panorama-360-aio-l-p360n-ds3m-g1w-14962229/,"exact white non-ARGB full PANORAMA; direct JSON-LD; x-kom exact 1559 PLN listing is temporarily unavailable; 55mm stack mounts top exhaust"
2026-08-23,Track B Case,HAVN HS 420 VGPU White,HVN-CA-HS420-07,Morele.net Sp. z o.o.,Poland,1127.79,PLN,1127.79,included,"0-25.99 PLN",1127.79,in stock,unknown,good,https://www.morele.net/obudowa-havn-hs-420-vgpu-biala-hvn-ca-hs420-07-14454524/,"exact EAN 4251442512156; direct JSON-LD; historical low repeated; no fans; stock VGPU layout one-GPU-only"
2026-08-23,Track B PSU B1 dual-GPU-power-ready,Seasonic PRIME PX-2200 ATX 3.1,PRIME-PX-2200-ATX30,Morele.net Sp. z o.o.,Poland,2158.57,PLN,2158.57,included,"0-25.99 PLN",2158.57,in stock,"12 years manufacturer",good,https://www.morele.net/zasilacz-seasonic-prime-px-atx-3-2200w-prime-px-2200-atx30-14499536/,"exact EAN 4711173878414; dual-GPU-power-ready but stock HAVN VGPU chassis is not two-GPU-ready"
2026-08-23,Track B PSU B2 one-GPU-only,Seasonic VERTEX GX-1200,VERTEX-GX-1200 ATX 3.0 PCIe 5.0,Morele.net Sp. z o.o.,Poland,1012.27,PLN,1012.27,included,"0-25.99 PLN",1012.27,in stock,unknown,good,https://www.morele.net/zasilacz-seasonic-vertex-gx-1200w-vertex-gx-1200-13040437/,"exact offer remains explicitly ATX 3.0 and uses EAN 4711173877721; one-GPU-only reference; ATX 3.1 VERTEX White family is a different revision and was not silently substituted; verify supplied native GPU cable before purchase"
2026-08-23,Track B SSD primary,Samsung 9100 PRO 4TB,MZ-VAP4T0BW,Senetic S.A.,Poland,3357.90,PLN,3357.90,included,unknown,3357.90,in stock,"5 years or TBW manufacturer limit",good,https://www.senetic.pl/product/MZ-VAP4T0BW,"install in M2A_CPU; direct JSON-LD; shipping checkout unknown"
2026-08-23,Track B SSD secondary,Samsung 990 PRO 4TB,MZ-V9P4T0BW,KR System,Poland,2875.81,PLN,2875.81,included,"from 10.99 PLN",2875.81,in stock,"60 months or 2400 TBW",good,https://www.krsystem.pl/samsung_dysk_ssd_990pro_gen4.0x4_nvme_4tb_mzv9p4t0bw-item-73006.html,"install in M2C_SB; direct JSON-LD price and stock; shipping excluded because method not selected"
2026-08-23,Track B Fan 140mm,Noctua NF-A14x25 G2 PWM chromax.black,NF-A14x25 G2 PWM CH.BK,Morele.net Sp. z o.o.,Poland,168.89,PLN,168.89,included,"0-25.99 PLN",168.89,in stock,"6 years manufacturer",good,https://www.morele.net/wentylator-noctua-nf-a14x25-g2-pwm-chromax-black-15645657/,"unit price; quantity eight; 3 bottom intake 3 side intake 2 rear exhaust"
2026-08-23,Track C GPU matching-pair reference,2x Zotac GeForce RTX 3090 Trinity 24GB,unknown,private seller via OLX,Poland,7400.00,PLN,7400.00,unknown,unknown,7400.00,indexed active pair listing; checkout/contact confirmation required,unknown,private-sale risk,https://www.olx.pl/d/oferta/2x-zotac-24gb-rtx3090-trinity-lokalne-ai-CID99-ID1bzdNK.html,pair price; exact matching model stated; quantity two; 3-slot-class open-air cards rather than slim target; seller identity serials ownership temperatures warranty and current availability unverified; used only as provisional Track C pair reference
2026-08-23,Track C GPU individual price lead,INNO3D GeForce RTX 3090 iChill X4 24GB,unknown,seller identity not extracted via Allegro,Poland,3199.00,PLN,3199.00,unknown,unknown,3199.00,indexed active offer; direct automated verification blocked,unknown,marketplace seller unverified,https://allegro.pl/oferta/karta-graficzna-inno3d-geforce-rtx-3090-ichill-x4-24-gb-box-17698649526,individual-card lead only; simultaneous quantity two and matching serial/revision availability not verified; therefore 6398 PLN pair arithmetic is not a qualifying Track C total
2026-08-23,Track C GPU slim target,EVGA GeForce RTX 3090 XC3 Ultra Gaming 24GB,24G-P5-3975-KR,no qualifying Poland/EU seller verified,unknown,unknown,PLN,unknown,unknown,unknown,unknown,no qualifying exact current stock found,unknown,unknown,https://www.newegg.com/evga-xc3-24g-p5-3975-kr-geforce-rtx-3090-24gb-graphics-card-triple-fans/p/N82E16814487524,primary 2.2-slot target; 285.37x111.15mm family geometry corroborated by archived retail specification; exact used pair price unavailable so slim-target total is incomplete
2026-08-23,Track C GPU slim alternative,Gigabyte GeForce RTX 3090 Turbo 24G,GV-N3090TURBO-24GD,seller identity not extracted via OLX index,Poland,5499.00,PLN,5499.00,unknown,unknown,5499.00,single indexed listing; direct exact offer URL not extracted,unknown,private-sale risk,https://www.olx.pl/oferty/q-rtx-karta-graficzna/?page=5,dual-slot 295mm blower designed for multi-GPU but current indexed unit is expensive; exact quantity two unavailable; Morele and Proline catalogue pages corroborate SKU but not current stock
2026-08-23,Track C optional NVLink bundle reference,2x Zotac GeForce RTX 3090 Trinity 24GB water-cooled with NVLink,unknown,private seller via Allegro Lokalnie,Poland,13150.00,PLN,13150.00,unknown,pickup shown,13150.00,indexed bundle listing; current availability requires confirmation,unknown,private-sale and custom-loop risk,https://allegrolokalnie.pl/oferta/zestaw-2x-rtx-3090-zotac-trinity-24gb-nvlink-wodne,reference only; materially overpriced versus air-cooled pair; verify bridge generation spacing blocks pump radiators fittings leaks coolant maintenance and whether all loop components are included
